date,capacity,turnover,open,high,low,close,change,transaction
2020-02-03,5808536,132450216,22.93,22.93,22.6,22.87,-0.28,2404
2020-02-04,3661548,84871840,22.9,23.29,22.9,23.26,0.39,1028
2020-02-05,9109402,212476216,23.3,23.4,23.15,23.32,0.06,1297
2020-02-06,3703240,87304866,23.45,23.67,23.45,23.67,0.35,1014
2020-02-07,3449415,80866483,23.58,23.58,23.38,23.4,-0.27,1078
2020-01-02,2291792,55355921,24.1,24.22,24.05,24.19,0.13,639
2020-01-03,3581292,86733903,24.31,24.38,24.03,24.19,0.0,984
2020-01-06,4790963,115098475,24.12,24.12,23.97,24.0,-0.19,1592
2020-01-07,4066972,97022318,24.0,24.02,23.75,23.89,-0.11,1622
2020-01-08,3851587,91767542,23.75,23.93,23.7,23.8,-0.09,1044
2020-01-09,2611963,62842571,23.92,24.12,23.92,24.09,0.29,664
2020-01-10,2624365,63278240,24.15,24.21,24.05,24.12,0.03,670
2020-01-13,2554877,62008242,24.25,24.33,24.18,24.3,0.18,764
2020-01-14,2908790,71000575,24.4,24.45,24.37,24.41,0.11,871
2020-01-15,2470785,60053955,24.41,24.41,24.21,24.24,-0.17,814
2020-01-16,3374850,81509602,24.12,24.2,24.09,24.19,-0.05,716
2020-01-17,2067698,49954679,24.22,24.22,24.1,24.14,-0.05,699
2020-01-20,2568192,62212470,24.17,24.25,24.17,24.21,0.07,682
2020-01-30,8025024,188137803,23.8,23.8,23.3,23.32,-0.89,4100
2020-01-31,9570115,222128790,23.3,23.31,23.08,23.15,-0.17,3909
2020-02-10,3051610,71112607,23.18,23.4,23.11,23.35,-0.05,899
2020-02-11,2046832,48217497,23.45,23.61,23.45,23.55,0.2,529
2020-02-12,2408277,57062329,23.58,23.78,23.58,23.73,0.18,680
2020-02-13,2565572,61060627,23.75,23.84,23.73,23.76,0.03,688
2020-02-14,2420512,57663101,23.76,23.88,23.73,23.81,0.05,503
2020-02-17,3139027,74375476,23.73,23.73,23.6,23.71,-0.1,908
2020-02-18,4202381,98716203,23.56,23.56,23.45,23.47,-0.24,1640
2020-02-19,2577169,60882279,23.45,23.72,23.44,23.67,0.2,667
2020-02-20,2607532,61547661,23.74,23.77,23.53,23.61,-0.06,803
2020-02-21,2739033,64412696,23.61,23.64,23.44,23.5,-0.11,826
2020-02-24,5568843,129247060,23.29,23.3,23.15,23.19,-0.31,2432
2020-02-25,3405379,78751798,23.0,23.24,23.0,23.2,0.01,1208
2020-02-26,5807540,133494025,23.0,23.07,22.9,23.0,-0.2,2249
2020-02-27,6609702,151079506,22.97,23.04,22.77,22.82,-0.18,2997
2020-03-02,5777964,130023694,22.59,22.68,22.34,22.51,-0.31,2497
2020-03-03,3701892,84419032,22.8,22.87,22.72,22.79,0.28,1062
2020-03-04,1977743,45126289,22.8,22.89,22.69,22.88,0.09,646
2020-03-05,2496109,57688796,23.03,23.14,23.03,23.14,0.26,760
2020-03-06,4522324,103092092,22.89,22.96,22.7,22.78,-0.36,1706
2020-03-09,7525420,167268026,22.37,22.37,22.15,22.15,-0.63,3672
2020-03-10,5550751,121640959,21.98,22.14,21.77,22.12,-0.03,2255
2020-03-11,3900274,85940289,22.12,22.2,21.86,21.88,-0.24,1834
2020-03-12,6756182,142987356,21.78,21.78,20.85,21.1,-0.78,3229
2020-03-13,7987660,158620018,19.95,20.71,19.45,20.7,-0.4,3416
2020-03-16,6832988,138147445,20.7,20.71,19.91,20.01,-0.69,2822
2020-03-17,6525114,126607706,19.65,19.7,19.24,19.42,-0.59,3170
2020-03-18,9140240,173968953,19.39,19.39,18.72,18.72,-0.7,4044
2020-03-19,7371086,131475584,18.38,18.4,17.35,17.65,-1.07,3364
2020-03-20,5359993,100109561,18.12,19.04,18.12,18.92,1.27,2464
2020-03-23,3076270,56430783,18.25,18.5,18.0,18.3,-0.62,1358
2020-03-24,3764910,71819049,18.9,19.22,18.9,19.03,0.73,1541
2020-03-25,5712190,112554332,19.61,19.85,19.56,19.76,0.73,2158
2020-03-26,4580490,90716244,20.0,20.0,19.58,19.81,0.05,1208
2020-03-27,4384778,87637266,20.1,20.23,19.71,19.72,-0.09,1658
2020-03-30,3934233,76325173,19.33,19.62,19.09,19.52,-0.2,1102
2020-03-31,3733672,73461866,19.76,19.89,19.51,19.66,0.14,806
2020-04-01,2688223,52903302,19.68,19.75,19.62,19.64,-0.02,719
2020-04-06,4323630,85589330,19.86,19.94,19.62,19.91,0.27,956
2020-04-07,3467873,70034315,20.23,20.33,20.09,20.21,0.3,1201
2020-04-08,3502140,71346836,20.23,20.5,20.23,20.47,0.26,1098
2020-04-09,2986061,61063404,20.52,20.6,20.31,20.42,-0.05,1073
2020-04-10,1922886,39304100,20.42,20.48,20.38,20.48,0.06,523
2020-04-13,2508973,51179451,20.48,20.5,20.31,20.36,-0.12,780
2020-04-14,2682479,55683643,20.44,20.86,20.43,20.85,0.49,975
2020-04-15,3507602,73625278,20.94,21.05,20.92,21.0,0.15,1013
2020-04-16,3398343,71038143,20.84,20.98,20.75,20.94,-0.06,914
2020-04-17,3895394,83643569,21.34,21.64,21.31,21.45,0.51,1341
2020-04-20,2541531,54382356,21.45,21.48,21.31,21.4,-0.05,651
2020-04-21,4156913,86927412,21.29,21.29,20.7,20.82,-0.58,1712
2020-04-22,2298768,47474875,20.63,20.78,20.5,20.78,-0.04,635
2020-04-23,2583362,53964152,20.87,21.12,20.72,20.9,0.12,554
2020-04-24,2394895,49938947,20.9,20.93,20.78,20.85,-0.05,475
2020-04-27,3305687,70062895,21.04,21.3,21.04,21.3,0.45,686
2020-04-28,2028424,43068227,21.36,21.36,21.13,21.3,0.0,697
2020-04-29,3104413,66981314,21.35,21.65,21.35,21.61,0.31,919
2020-04-30,3464237,76108082,21.75,22.08,21.72,22.06,0.45,1264
2020-05-04,3956462,84958411,21.41,21.58,21.3,21.48,-0.58,1461
2020-05-05,2040565,44102254,21.62,21.7,21.48,21.6,0.12,597
2020-05-06,3114292,67130727,21.55,21.65,21.4,21.62,0.02,673
2020-05-07,1905813,41360353,21.62,21.79,21.58,21.72,0.1,534
2020-05-08,2083470,45448284,21.85,21.9,21.74,21.84,0.12,587
2020-05-11,2955361,65091307,22.0,22.07,21.9,22.01,0.17,1045
2020-05-12,3101544,67545016,21.9,21.9,21.7,21.79,-0.22,1423
2020-05-13,1818833,39550418,21.7,21.86,21.65,21.82,0.03,539
2020-05-14,3409405,73827118,21.74,21.74,21.56,21.6,-0.22,1009
2020-05-15,2231320,48353571,21.75,21.78,21.52,21.69,0.09,503
2020-05-18,3024718,65388120,21.6,21.66,21.52,21.6,-0.09,469
2020-05-19,2208110,48069455,21.85,21.88,21.7,21.77,0.17,536
